Year,Performance
1988.653846,83.5362547
1989.471154,50.02864611
1990.625,55.73060401
1992.403846,90.57977759
1992.692308,177.827941
1992.692308,273.8419634
1993.028846,321.9678444
1993.413462,239.2799173
1994.759615,349.1151937
1994.759615,598.8854335
1995.432692,1027.350768
1995.721154,410.469838
1996.153846,922.2395651
1996.153846,973.3773809
1996.346154,667.142718
1996.346154,1382.372227
1996.875,1810.558243
1997.355769,1274.878362
1997.451923,1762.356441
1997.596154,827.8825906
1997.644231,1459.024216
1998.894231,3554.522356
1999.182692,2308.241527
1999.182692,1144.441901
1999.471154,2713.899431
1999.519231,1860.078402
2000.192308,3367.780283
2000.673077,4782.858142
2001.105769,5473.703263
2001.201923,6264.335367
2001.682692,4293.51021
2001.778846,6264.335367
2002.403846,9389.79801
2002.836538,8659.643234
2002.884615,9389.79801
2003.413462,10181.51722
2003.509615,11341.94404
2003.653846,13335.21432
2004.807692,18938.42027
2004.807692,16548.171
2004.807692,21096.90513
2005.769231,17000.77619
2005.865385,21096.90513
2006.875,18938.42027
2006.923077,21096.90513
2006.971154,35226.94651
2007.067308,23501.40085
2007.788462,31622.7766
2007.836538,14074.64663
2008.173077,20535.25026
2009.3,36600
2009.5,21100
2009.7,37700
2010.3,42000
2010.5,25800
2011.16,46000.7
2011.32,39000.4
2011.9,33000.6
2012.4,31000.8
2012.41,59000
2012.9,33000.7
2013.8,59000.6
2014.16,59000.9
2014.8,66000.4
2014.81,65000.4
2014.82,66000.1
2016.33,73900.2
2017.58,77900.2
2017.59,83600.3
2019.3,90900.2
2019.8,78300.4
2020.1,99000
2020.2,97200
2021.3,105300
